Name,Industry,Location,Csize,Website,Funding Stage,Funding Amount,Contact Numbers of decision-makers
Trullion,Computer Software,"New York,United States",11-50',https://www.trullion.com/,series a,$15M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Payhop,Financial Services,"So Paulo,Brazil",1-10',http://www.payhop.com.br/,seed,$2.238094M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Permit.io,Computer Software,"Tel Aviv-yafo,Israel",11-50',https://www.permit.io/,seed,$6M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Waka Coffee,Food & Beverages,"Irvine,United States",1-10',https://www.wakacoffee.com/,seed,$725K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Epirus,Defense & Space,United States,51-200',https://www.epirusinc.com/,series c,$344.7M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Aurox,Information Technology And Services,"Dallas,United States",1-10',http://www.getaurox.com/,venture funding,$5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Roomdex,Hospitality,"Santa Cruz,United States",11-50',https://www.roomdex.io/,corporate funding,$11M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Cybexer Technologies,Computer & Network Security,"Tallinn,Estonia",11-50',https://cybexer.com/,undisclosed,$5.68105M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Mexc Global,Internet,"Victoria,Seychelles",51-200',https://www.mexc.com/,undisclosed,$0M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Bramble Energy,Renewables And Environment,"London,United Kingdom",11-50',https://www.brambleenergy.com/,series b,$57.8M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Data Sutram,Computer Software,"Kolkata,India",11-50',http://www.datasutram.com,seed,$2.3M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Aleph Zero,Internet,"Zug,Switzerland",11-50',https://alephzero.org/,seed,$16.3M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Aulerth,Luxury Goods & Jewelry,"Gurugram,India",1-10',https://www.aulerth.com/,seed,$1.069912M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Dimo,Internet,United States,1-10',http://dimo.zone/,seed,$9M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Qashio,Financial Services,"Dubai,United Arab Emirates",1-10',https://qashio.com/,seed,$2.5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Adaptyv Biosystems,Biotechnology,"Lausanne,Switzerland",1-10',https://www.adaptyvbio.com/,seed,$3M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Papier,Retail,"London,United Kingdom",51-200',https://www.papier.com/,series c,$65.4M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Semaai,Information Technology And Services,"Jakarta,Indonesia",11-50',https://www.semaai.com/,seed,$1.3M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Modalku,Financial Services,Indonesia,51-200',https://modalku.co.id/,debt funding,$296.4M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Axelar,Computer & Network Security,"Waterloo,Canada",11-50',http://axelar.network/,series b,$63.8M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Tropic,Information Technology And Services,"New York,United States",51-200',http://tropicapp.io/,series b,$67.1M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Tripledot Studios,Computer Games,"London,United Kingdom",51-200',https://www.tripledotstudios.com/,undisclosed,$202M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Renee Cosmetics,Cosmetics,"Ahmedabad,India",11-50',https://www.reneecosmetics.in/,series a,$11.5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Kenko Health,Hospital & Health Care,"Mumbai,India",51-200',https://kenkohealth.in/,series a,$13.7M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Appboxo,Internet,"Singapore,Singapore",11-50',https://www.appboxo.com/,series a,$8.1M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Community Dental Partners,Hospital & Health Care,"Denton,United States",51-200',http://communitydentalpartners.com/,debt funding,$0M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Dejero,Computer Networking,"Waterloo,Canada",51-200',http://www.dejero.com/,debt funding,$120.5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
New Directions Aromatics,Cosmetics,"Mississauga,Canada",51-200',https://www.newdirectionsaromatics.com/,private equity funding,$0M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Insideiim,Education Management,"Mumbai,India",51-200',http://insideiim.com/,angel,$502.462K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Altuni,Education Management,"Mumbai,India",51-200',https://altuni.in/,angel,$500K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Nmd Pharma,Biotechnology,"Aarhus,Denmark",11-50',http://www.nmdpharma.com/,venture funding,$86.4158M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Simon,Financial Services,"New York,United States",51-200',https://www.simon.io/,corporate funding,$100M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Atcc,Biotechnology,United States,501-1000',https://www.atcc.org/en.aspx,grant,$5.5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Xampla,Plastics,"Cambridge,United Kingdom",11-50',http://www.xampla.com/,grant,$12.2M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Ecg-excellence,Medical Devices,Netherlands,1-10',https://www.ecg-excellence.com/,undisclosed,€785K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Turn Medical,Medical Devices,"San Antonio,United States",11-50',https://turnmedical.com/,undisclosed,$6.2M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Grintafy Technologies,Sports,"Jeddah,Saudi Arabia",11-50',https://grintafy.com/,undisclosed,$3.4M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Antalgenics,Biotechnology,"Alicante,Spain",11-50',https://antalgenics.com/,undisclosed,$51.153K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Petro-victory Energy,Oil & Energy,United States,1-10',http://www.petrovictoryenergy.com/,ipo,CA$11M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Veon,Telecommunications,"Amsterdam,Netherlands","10,001'",https://veon.com/,ipo,$1.6B,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Builddirect,Internet,"Vancouver,Canada",51-200',http://www.builddirect.com/,ipo,$156.4M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Mednax,Hospital & Health Care,United States,1001-5000',http://www.mednax.com/,ipo,$1.1B,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Kemper Corporation,Insurance,"Chicago,United States",null',http://kemper.com/,ipo,$400M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Coremap,Medical Devices,"Burlington,United States",11-50',https://coremapmedical.com/,series b,$33.5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Deepdub,Entertainment,"Tel Aviv-yafo,Israel",11-50',https://deepdub.ai/,series a,$20M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Kyro,Internet,"San Francisco,United States",1-10',https://www.kyro.co/,series a,$15M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Swipe,Computer Software,"Hyderabad,India",11-50',https://getswipe.in/,seed,$2.1M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Canonic Security,Computer & Network Security,"Tel Aviv-yafo,Israel",11-50',https://www.canonic.security/,seed,$6M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Trumpf,Machinery,Germany,501-1000',http://www.trumpf.com/,debt funding,$56.9205M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Lambert,Public Relations And Communications,"Grand Rapids,United States",51-200',https://lambert.com/,private equity funding,$0M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Ziacom Medical,Biotechnology,"Pinto,Spain",1-10',https://ziacom.es/,private equity funding,$0M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Payup,Financial Services,"London,United Kingdom",1-10',https://www.payup.finance/,angel,$0M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Automata Network,Information Technology And Services,"Singapore,Singapore",11-50',https://www.ata.network/,venture funding,$1M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Ruby Protocol,Internet,"Victoria,Canada",1-10',https://www.ruby.io/,venture funding,$7.3M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Return Entertainment,Entertainment,"Helsinki,Finland",11-50',http://returnentertainment.com/,venture funding,$6M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Partinc Capital,Venture Capital & Private Equity,"Stockholm,Sweden",1-10',https://partinccapital.com/,private equity funding,$0M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Minterest,Internet,"Tallinn,Estonia",11-50',https://minterest.com/,ico,$12M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Potion Labs,Information Technology And Services,"London,United Kingdom",1-10',https://potion.fi/#/,ico,$15.2M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Ortho Regenerative Technologies Inc.,Pharmaceuticals,"Quebec City,Canada",1-10',https://www.orthorti.com/partnering/,undisclosed,$3M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Cloudinary,Internet,United States,201-500',https://cloudinary.com/,undisclosed,$100M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Global Wealth Group,Investment Management,"London,United Kingdom",11-50',http://www.globalwealthgroup.com/,equity crowdfunding,$6.9M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Novus World,Financial Services,"London,United Kingdom",11-50',https://novus.world/,equity crowdfunding,$4.5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Eqova Healthcare,Hospital & Health Care,"Delhi,India",1-10',https://www.eqova.co.in/,corporate funding,$6.287061M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Elemental Excelerator,Renewables And Environment,"Honolulu,United States",51-200',http://elementalexcelerator.com/,undisclosed,$60.5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Technopole Maritime Du Québec,International Trade & Development,"Rimouski,Canada",1-10',https://tmq.ca/,grant,$966K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Micropsi Industries,Industrial Automation,"Berlin,Germany",11-50',http://www.micropsi-industries.com/,series b,$39.5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Sēkr,"Leisure, Travel & Tourism","San Diego,United States",1-10',https://www.sekr.com/,seed,$2.3M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Proxalys,Food Production,"Dakar,Senegal",1-10',http://www.proxalys.net/,seed,$150K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Clare&me,"Health, Wellness And Fitness","Berlin,Germany",1-10',https://www.clareandme.com/,seed,$1.1M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Better Opinions,Financial Services,"Gurugram,India",1-10',https://www.betteropinions.in/,seed,$992.436K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Superconductive,Computer Software,"Redwood City,United States",11-50',https://www.superconductive.com/,series b,$61M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Fusion Family Wealth,Financial Services,"Woodbury,United States",1-10',http://www.fusionfamilywealth.com/,private equity funding,$0M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Hauseful,Information Technology And Services,Brazil,51-200',https://hauseful.com/,angel,R$1.6M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
The Krishi,Internet,"Gurugram,India",51-200',https://krishinetwork.com/,angel,$211.3K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Shopware,Internet,Germany,201-500',https://www.shopware.com/en/,venture funding,$100M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Yallamarket,Retail,"Dubai,United Arab Emirates",11-50',https://yallamarket.ae/,undisclosed,$4.5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Sagesure Insurance Managers,Insurance,"Jersey City,United States",201-500',https://www.sagesure.com/,debt funding,$500M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Thinkmarkets,Financial Services,"London,United Kingdom",51-200',https://www.thinkmarkets.com/en/,debt funding,$30M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Abu Dhabi Ports Company,Maritime,"Abu Dhabi,United Arab Emirates",1001-5000',http://www.adpc.ae/en,corporate funding,$326.7M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Pyxus,Farming,"Morrisville,United States",51-200',https://www.pyxus.com/,ipo,$100M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Ortho Regenerative Technologies,Pharmaceuticals,"Quebec City,Canada",1-10',https://www.orthorti.com/partnering/,ipo,$3M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Linkapital,Financial Services,"São Paulo,Brazil",11-50',https://www.linkapital.com.br/,undisclosed,$4.188162M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Contextlabs,Computer Software,"Cambridge,United States",11-50',https://www.contextlabs.com/,undisclosed,$48M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Yelo Drive,Automotive,"Riyadh,Saudi Arabia",51-200',https://www.iyelo.com/,undisclosed,$0M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Salad Ventures,Computer Games,"Singapore,Singapore",11-50',https://www.salad.ventures/,undisclosed,$15.5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Amplify Creations,Computer Software,"évora,Portugal",1-10',http://www.amplify.pt/,undisclosed,$0M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Newton.co,Financial Services,"Toronto,Canada",51-200',https://newton.co/,series b,$34.7M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Reliance Health,Hospital & Health Care,"Lagos,Nigeria",51-200',https://www.getreliancehealth.com/,series b,$48.3M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Seyna,Insurance,"Paris,France",11-50',https://seyna.eu/fr/,series a,€47M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Karbon Card,Financial Services,"Bengaluru,India",11-50',http://www.karboncard.com,series a,$31.2M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Invact Metaversity,E-learning,"Bengaluru,India",11-50',https://www.invact.com/,seed,$0M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Odys Aviation,Aviation & Aerospace,"Long Beach,United States",11-50',https://www.odysaviation.com/,seed,$15.9M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Genesis Systems Llc (usa),Research,"Tampa,United States",11-50',https://genesissystems.global/,seed,$20.8M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Rocky,Information Technology And Services,"London,United Kingdom",1-10',https://www.rocky.ai/,seed,$776K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Dawn Health,"Health, Wellness And Fitness","San Francisco,United States",1-10',https://www.dawn.health/,seed,$1.8M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Blocksurvey,Internet,"Bengaluru,India",11-50',https://blocksurvey.io,seed,$500K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Sprinto,Computer Software,"Bengaluru,India",11-50',https://www.sprinto.com/,series a,$11.4M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Qredo,Computer Software,"London,United Kingdom",51-200',https://qredo.com/,series a,$108.5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Eekifoods,Food Production,"Kota,India",11-50',https://eekifoods.com/,venture funding,$2M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Ventus Therapeutics,Biotechnology,"Waltham,United States",51-200',https://www.ventustx.com/,series c,$300M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Udenz,Information Technology And Services,"Dubai,United Arab Emirates",1-10',https://udenz.ae/,debt funding,$353K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Kraftpal,Logistics And Supply Chain,"London,United Kingdom",11-50',https://www.kraftpal.com/,private equity funding,$123.9M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Veris Wealth Partners,Financial Services,"New York,United States",11-50',http://www.veriswp.com/,private equity funding,$0M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Biomedion,Computer Software,"Berlin,Germany",11-50',http://www.biomedion.com/,private equity funding,$0M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Iupay,Financial Services,"So Paulo,Brazil",1-10',https://www.iupay.com.br/,angel,$1M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Gold Terra Resource,Mining And Metals,"Vancouver,Canada",1-10',https://www.goldterracorp.com/,ipo,$4.6M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Society Pass,Internet,"San Jose,Philippines",11-50',https://www.thesocietypass.com/,ipo,$10M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Armata Pharmaceuticals,Biotechnology,"Marina Del Rey,United States",51-200',https://www.armatapharma.com/,ipo,$196M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Vensica Medical,Medical Devices,Israel,1-10',http://vensica.com/,corporate funding,$22.2M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Accurassi,Information Technology And Services,"Sydney,Australia",11-50',https://www.accurassi.com/,corporate funding,$1.4M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Paypa Plane,Financial Services,"Brisbane,Australia",11-50',https://www.paypaplane.com/,corporate funding,$0M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Front Office Sports,Online Media,"New York,United States",11-50',https://frontofficesports.com/,corporate funding,$5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Yr Media,Broadcast Media,"Oakland,United States",51-200',https://yr.media/,grant,$600K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Eagronom,Farming,"Tartu,Estonia",51-200',https://eagronom.com/,series a,$10.5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Wallaroo,Computer Software,"New York,United States",11-50',http://www.wallaroo.ai/,series a,$31.8M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Happy Whole Human,Professional Training And Coaching,"Austin,United States",1-10',https://www.happywholehuman.com/,series a,$0M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Alaffia Health,Information Technology And Services,"New York,United States",11-50',https://www.alaffiahealth.com/,seed,$6.6M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
H3mart,Hospitality,"Bengaluru,India",11-50',https://h3mart.com/,seed,$400.336K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Oloid,Computer Software,"Sunnyvale,United States",11-50',https://www.oloid.ai/,series a,$32.4M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Gauzy,Nanotechnology,"Tel Aviv-yafo,Israel",51-200',http://www.gauzy.com/,series d,$97.5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Endless West,Food & Beverages,"San Francisco,United States",11-50',http://www.endlesswest.com/,series c,$93.7M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Scopio Labs,Information Technology And Services,"Tel Aviv-yafo,Israel",51-200',http://www.scopiolabs.com/,series c,$73.1M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Prisma Photonics,Information Technology And Services,"Tel Aviv-yafo,Israel",11-50',https://www.prismaphotonics.com/,series b,$20M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Lepidext,Biotechnology,"Lexington,United States",1-10',https://lepidext.com/,grant,$535.4K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Lark Hotels,Hospitality,"Amesbury,United States",51-200',https://www.larkhotels.com/,debt funding,$13.3M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Apprentify,Education Management,"Macclesfield,United Kingdom",11-50',https://www.apprentify.com/,private equity funding,$6.8M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Leverage,Professional Training And Coaching,"New York,United States",11-50',https://www.tryleverage.ai/,venture funding,$12.7M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Ndr Warehousing,Warehousing,"Chennai,India",11-50',https://www.ndrwarehousing.com/,venture funding,$55M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Securethings,Automotive,"Los Altos,United States",1-10',https://securethings.ai/,undisclosed,$3.5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
